Date,Ticker,Adj Close,Close,High,Low,Open,Volume
2015-01-02,920185.BJ,,,,,,
2015-01-02,LICY,,,,,,
2015-01-02,000625.SZ,,,,,,
2015-01-02,002074.SZ,,,,,,
2015-01-02,002340.SZ,,,,,,
2015-01-02,002460.SZ,,,,,,
2015-01-02,002466.SZ,,,,,,
2015-01-02,003670.KS,,12472.080078125,12507.714944066436,12374.085335687696,12507.714944066436,14127.0
2015-01-02,0175.HK,,2.0516695976257324,2.0853034925911005,2.0180357026603644,2.0768950188497586,32850000.0
2015-01-02,051910.KS,,158045.203125,158484.21757812498,155411.11640625,157606.188671875,231092.0
2015-01-02,066970.KS,,5007.40380859375,5034.569086358157,4953.074212951786,4980.239010772768,41650.0
2015-01-02,1211.HK,,10.021316528320312,10.03709879184869,9.547868489139345,9.737247524205639,24822066.0
2015-01-02,247540.KQ,,,,,,
2015-01-02,300014.SZ,,,,,,
2015-01-02,300037.SZ,,,,,,
2015-01-02,300207.SZ,,,,,,
2015-01-02,300750.SZ,,,,,,
2015-01-02,300919.SZ,,,,,,
2015-01-02,3407.T,,,,,,
2015-01-02,373220.KS,,,,,,
2015-01-02,3931.HK,,,,,,
2015-01-02,600006.SS,,,,,,
2015-01-02,600110.SS,,,,,,
2015-01-02,600362.SS,,,,,,
2015-01-02,600418.SS,,,,,,
2015-01-02,600733.SS,,,,,,
2015-01-02,601238.SS,,,,,,
2015-01-02,601633.SS,,,,,,
2015-01-02,603659.SS,,,,,,
2015-01-02,603799.SS,,,,,,
2015-01-02,603993.SS,,,,,,
2015-01-02,688388.SS,,,,,,
2015-01-02,7267.T,,,,,,
2015-01-02,ALB,,51.37242126464844,51.65351555625493,50.844299202678854,51.4235275452776,740900.0
2015-01-02,BAS.DE,,39.671356201171875,40.24061082610214,39.16471993242939,40.018601869824785,2260387.0
2015-01-02,BMW.DE,,50.7365608215332,51.647405838740625,50.37337163531773,51.07668562956961,1532820.0
2015-01-02,F,,8.436935424804688,8.596226505926957,8.33806544179239,8.56327001953416,24777900.0
2015-01-02,GLEN.L,,295.7240905761719,301.14883256762363,292.2900559028588,299.7553222568033,15960991.0
2015-01-02,GM,,26.835491180419922,27.19750936519965,26.50428367908283,27.166698681757016,9756700.0
2015-01-02,LCID,,,,,,
2015-01-05,920185.BJ,,,,,,
2015-01-05,LICY,,,,,,
2015-01-05,000625.SZ,,7.727355003356934,7.727355003356934,7.440840063404722,7.453669677711649,149400127.0
2015-01-05,002074.SZ,,11.759323120117188,11.902935655616128,11.429859068090204,11.767770916323007,4233952.0
2015-01-05,002340.SZ,,2.358534812927246,2.358534812927246,2.358534812927246,2.358534812927246,0.0
2015-01-05,002460.SZ,,3.4931576251983643,3.497529784229959,3.3051661692504144,3.311723313335247,52242594.0
2015-01-05,002466.SZ,,7.511430740356445,7.58840617090382,7.174884413051845,7.276922305562993,5808392.0
2015-01-05,003670.KS,,12596.8017578125,12605.709791030735,12365.177405075818,12472.080181543932,17112.0
2015-01-05,0175.HK,,2.177797317504883,2.21143142242303,2.0348532236167642,2.0348532236167642,83766603.0
2015-01-05,051910.KS,,153216.046875,157606.19148459885,152338.01795308024,157167.17702363897,318170.0
2015-01-05,066970.KS,,5070.7890625,5107.008953521494,4980.2390949745495,4980.2390949745495,35923.0
2015-01-05,1211.HK,,10.021316528320312,10.116006497368694,9.800374772258206,10.052879249316126,34120002.0
2015-01-05,247540.KQ,,,,,,
2015-01-05,300014.SZ,,6.724047660827637,6.769276156007821,6.502927637771422,6.507953279185866,23902116.0
2015-01-05,300037.SZ,,14.182564735412598,14.389498690042153,13.531479410004739,14.217895007315713,20952091.0
2015-01-05,300207.SZ,,4.682671546936035,4.757295723812278,4.570735281621671,4.667746889478859,17921575.0
2015-01-05,300750.SZ,,,,,,
2015-01-05,300919.SZ,,,,,,
2015-01-05,3407.T,,792.4342651367188,798.5604054310908,785.5874024547734,792.0739039429321,3529000.0
2015-01-05,373220.KS,,,,,,
2015-01-05,3931.HK,,,,,,
2015-01-05,600006.SS,,5.737302303314209,5.838440771667706,5.433887336676639,5.461470714745019,65370971.0
2015-01-05,600110.SS,,6.241816520690918,6.3099800524113725,6.105489921576082,6.115227767961605,22428864.0
2015-01-05,600362.SS,,16.803428649902344,16.803428649902344,15.651713323149787,15.6599992268386,124714229.0
2015-01-05,600418.SS,,12.010498046875,12.132479773228125,11.475654955195632,11.475654955195632,50376785.0
2015-01-05,600733.SS,,7.70285701751709,7.7733330726623535,7.561903953552246,7.71999979019165,6102306.0
2015-01-05,601238.SS,,5.365514278411865,5.4131551038966945,5.210682986988643,5.210682986988643,48703461.0
2015-01-05,601633.SS,,11.845953941345215,11.983666667435195,11.25008100057178,11.25537726503712,35152209.0
2015-01-05,603659.SS,,,,,,
2015-01-05,603799.SS,,,,,,
